Type,Library,Test,Result
1. Parse Validation,Configuru (C++11),fail09,true
1. Parse Validation,Configuru (C++11),fail10,true
1. Parse Validation,Configuru (C++11),fail11,true
1. Parse Validation,Configuru (C++11),fail12,true
1. Parse Validation,Configuru (C++11),fail13,true
1. Parse Validation,Configuru (C++11),fail14,true
1. Parse Validation,Configuru (C++11),fail15,true
1. Parse Validation,Configuru (C++11),fail16,true
1. Parse Validation,Configuru (C++11),fail17,true
1. Parse Validation,Configuru (C++11),fail19,true
1. Parse Validation,Configuru (C++11),fail20,true
1. Parse Validation,Configuru (C++11),fail21,true
1. Parse Validation,Configuru (C++11),fail22,true
1. Parse Validation,Configuru (C++11),fail23,true
1. Parse Validation,Configuru (C++11),fail24,true
1. Parse Validation,Configuru (C++11),fail25,true
1. Parse Validation,Configuru (C++11),fail26,true
1. Parse Validation,Configuru (C++11),fail27,true
1. Parse Validation,Configuru (C++11),fail28,true
1. Parse Validation,Configuru (C++11),fail29,true
1. Parse Validation,Configuru (C++11),fail30,true
1. Parse Validation,Configuru (C++11),fail31,true
1. Parse Validation,Configuru (C++11),fail32,true
1. Parse Validation,Configuru (C++11),fail33,true
1. Parse Validation,Configuru (C++11),number_-9223372036854775808,true
1. Parse Validation,Configuru (C++11),string_2_escaped_invalid_codepoints,false
1. Parse Validation,Configuru (C++11),string_1_invalid_codepoint,true
1. Parse Validation,Configuru (C++11),object_same_key_unclear_values,false
1. Parse Validation,Configuru (C++11),object_key_nfc_nfd,true
1. Parse Validation,Configuru (C++11),string_3_escaped_invalid_codepoints,false
1. Parse Validation,Configuru (C++11),number_1.000000000000000005,true
1. Parse Validation,Configuru (C++11),string_with_escaped_NULL,true
1. Parse Validation,Configuru (C++11),number_1e6,true
1. Parse Validation,Configuru (C++11),string_3_invalid_codepoints,true
1. Parse Validation,Configuru (C++11),number_1.0,true
1. Parse Validation,Configuru (C++11),string_2_invalid_codepoints,true
1. Parse Validation,Configuru (C++11),number_9223372036854775807,true
1. Parse Validation,Configuru (C++11),number_1000000000000000,true
1. Parse Validation,Configuru (C++11),number_10000000000000000999,true
1. Parse Validation,Configuru (C++11),number_-9223372036854775809,true
1. Parse Validation,Configuru (C++11),object_same_key_different_values,false
1. Parse Validation,Configuru (C++11),object_key_nfd_nfc,true
1. Parse Validation,Configuru (C++11),object_same_key_same_value,false
1. Parse Validation,Configuru (C++11),number_9223372036854775808,true
1. Parse Validation,Configuru (C++11),number_1e-999,true
1. Parse Validation,Configuru (C++11),string_1_escaped_invalid_codepoint,false
2. Parse Double,Configuru (C++11),double01,true
2. Parse Double,Configuru (C++11),double02,true
2. Parse Double,Configuru (C++11),double03,true
2. Parse Double,Configuru (C++11),double04,true
2. Parse Double,Configuru (C++11),double05,true
2. Parse Double,Configuru (C++11),double06,true
2. Parse Double,Configuru (C++11),double07,true
2. Parse Double,Configuru (C++11),double08,true
2. Parse Double,Configuru (C++11),double09,true
2. Parse Double,Configuru (C++11),double10,true
2. Parse Double,Configuru (C++11),double11,true
2. Parse Double,Configuru (C++11),double12,true
2. Parse Double,Configuru (C++11),double13,true
2. Parse Double,Configuru (C++11),double14,true
2. Parse Double,Configuru (C++11),double15,true
2. Parse Double,Configuru (C++11),double16,true
2. Parse Double,Configuru (C++11),double17,true
2. Parse Double,Configuru (C++11),double18,true
2. Parse Double,Configuru (C++11),double19,true
2. Parse Double,Configuru (C++11),double20,true
2. Parse Double,Configuru (C++11),double21,true
2. Parse Double,Configuru (C++11),double22,true
2. Parse Double,Configuru (C++11),double23,true
2. Parse Double,Configuru (C++11),double24,true
2. Parse Double,Configuru (C++11),double25,true
2. Parse Double,Configuru (C++11),double26,true
2. Parse Double,Configuru (C++11),double27,true
2. Parse Double,Configuru (C++11),double28,true
2. Parse Double,Configuru (C++11),double29,true
2. Parse Double,Configuru (C++11),double30,true
2. Parse Double,Configuru (C++11),double31,true
2. Parse Double,Configuru (C++11),double32,true
2. Parse Double,Configuru (C++11),double33,true
2. Parse Double,Configuru (C++11),double34,true
2. Parse Double,Configuru (C++11),double35,true
2. Parse Double,Configuru (C++11),double36,true
2. Parse Double,Configuru (C++11),double37,true
2. Parse Double,Configuru (C++11),double38,true
2. Parse Double,Configuru (C++11),double39,true
2. Parse Double,Configuru (C++11),double40,true
2. Parse Double,Configuru (C++11),double41,true
2. Parse Double,Configuru (C++11),double42,true
2. Parse Double,Configuru (C++11),double43,true
2. Parse Double,Configuru (C++11),double44,true
2. Parse Double,Configuru (C++11),double45,true
2. Parse Double,Configuru (C++11),double46,true
2. Parse Double,Configuru (C++11),double47,true
2. Parse Double,Configuru (C++11),double48,true
2. Parse Double,Configuru (C++11),double49,true
2. Parse Double,Configuru (C++11),double50,true
2. Parse Double,Configuru (C++11),double51,true
2. Parse Double,Configuru (C++11),double52,true
2. Parse Double,Configuru (C++11),double53,true
2. Parse Double,Configuru (C++11),double54,true
2. Parse Double,Configuru (C++11),double55,true
2. Parse Double,Configuru (C++11),double56,true
2. Parse Double,Configuru (C++11),double57,true
2. Parse Double,Configuru (C++11),double58,true
2. Parse Double,Configuru (C++11),double59,true
2. Parse Double,Configuru (C++11),double60,true
2. Parse Double,Configuru (C++11),double61,true
2. Parse Double,Configuru (C++11),double62,true
2. Parse Double,Configuru (C++11),double63,true
2. Parse Double,Configuru (C++11),double64,true
2. Parse Double,Configuru (C++11),double65,true
2. Parse Double,Configuru (C++11),double66,true
3. Parse String,Configuru (C++11),string01,true
3. Parse String,Configuru (C++11),string02,true
3. Parse String,Configuru (C++11),string03,true
3. Parse String,Configuru (C++11),string04,true
3. Parse String,Configuru (C++11),string05,true
3. Parse String,Configuru (C++11),string06,true
3. Parse String,Configuru (C++11),string07,true
3. Parse String,Configuru (C++11),string08,true
3. Parse String,Configuru (C++11),string09,true
4. Roundtrip,Configuru (C++11),roundtrip01,true
4. Roundtrip,Configuru (C++11),roundtrip02,true
4. Roundtrip,Configuru (C++11),roundtrip03,true
4. Roundtrip,Configuru (C++11),roundtrip04,true
4. Roundtrip,Configuru (C++11),roundtrip05,true
4. Roundtrip,Configuru (C++11),roundtrip06,true
4. Roundtrip,Configuru (C++11),roundtrip07,true
4. Roundtrip,Configuru (C++11),roundtrip08,true
4. Roundtrip,Configuru (C++11),roundtrip09,true
4. Roundtrip,Configuru (C++11),roundtrip10,true
4. Roundtrip,Configuru (C++11),roundtrip11,true
4. Roundtrip,Configuru (C++11),roundtrip12,true
4. Roundtrip,Configuru (C++11),roundtrip13,true
4. Roundtrip,Configuru (C++11),roundtrip14,true
4. Roundtrip,Configuru (C++11),roundtrip15,true
4. Roundtrip,Configuru (C++11),roundtrip16,true
4. Roundtrip,Configuru (C++11),roundtrip17,true
4. Roundtrip,Configuru (C++11),roundtrip18,true
4. Roundtrip,Configuru (C++11),roundtrip19,true
4. Roundtrip,Configuru (C++11),roundtrip20,true
4. Roundtrip,Configuru (C++11),roundtrip21,true
4. Roundtrip,Configuru (C++11),roundtrip22,true
4. Roundtrip,Configuru (C++11),roundtrip23,true
4. Roundtrip,Configuru (C++11),roundtrip24,true
4. Roundtrip,Configuru (C++11),roundtrip25,true
4. Roundtrip,Configuru (C++11),roundtrip26,true
4. Roundtrip,Configuru (C++11),roundtrip27,false
1. Parse Validation,dropbox json11 (C++11),pass01,true
1. Parse Validation,dropbox json11 (C++11),pass02,true
1. Parse Validation,dropbox json11 (C++11),pass03,true
1. Parse Validation,dropbox json11 (C++11),fail02,true
1. Parse Validation,dropbox json11 (C++11),fail03,true
1. Parse Validation,dropbox json11 (C++11),fail04,true
1. Parse Validation,dropbox json11 (C++11),fail05,true
1. Parse Validation,dropbox json11 (C++11),fail06,true
1. Parse Validation,dropbox json11 (C++11),fail07,true
1. Parse Validation,dropbox json11 (C++11),fail08,true
1. Parse Validation,dropbox json11 (C++11),fail09,true
1. Parse Validation,dropbox json11 (C++11),fail10,true
1. Parse Validation,dropbox json11 (C++11),fail11,true
1. Parse Validation,dropbox json11 (C++11),fail12,true
1. Parse Validation,dropbox json11 (C++11),fail13,true
1. Parse Validation,dropbox json11 (C++11),fail14,true
1. Parse Validation,dropbox json11 (C++11),fail15,true
1. Parse Validation,dropbox json11 (C++11),fail16,true
1. Parse Validation,dropbox json11 (C++11),fail17,true
1. Parse Validation,dropbox json11 (C++11),fail19,true
1. Parse Validation,dropbox json11 (C++11),fail20,true
1. Parse Validation,dropbox json11 (C++11),fail21,true
1. Parse Validation,dropbox json11 (C++11),fail22,true
1. Parse Validation,dropbox json11 (C++11),fail23,true
1. Parse Validation,dropbox json11 (C++11),fail24,true
1. Parse Validation,dropbox json11 (C++11),fail25,true
1. Parse Validation,dropbox json11 (C++11),fail26,true
1. Parse Validation,dropbox json11 (C++11),fail27,true
1. Parse Validation,dropbox json11 (C++11),fail28,true
1. Parse Validation,dropbox json11 (C++11),fail29,true
1. Parse Validation,dropbox json11 (C++11),fail30,true
1. Parse Validation,dropbox json11 (C++11),fail31,true
1. Parse Validation,dropbox json11 (C++11),fail32,true
1. Parse Validation,dropbox json11 (C++11),fail33,true
1. Parse Validation,dropbox json11 (C++11),number_-9223372036854775808,true
1. Parse Validation,dropbox json11 (C++11),string_2_escaped_invalid_codepoints,true
1. Parse Validation,dropbox json11 (C++11),string_1_invalid_codepoint,true
1. Parse Validation,dropbox json11 (C++11),object_same_key_unclear_values,true
1. Parse Validation,dropbox json11 (C++11),object_key_nfc_nfd,true
1. Parse Validation,dropbox json11 (C++11),string_3_escaped_invalid_codepoints,true
1. Parse Validation,dropbox json11 (C++11),number_1.000000000000000005,true
1. Parse Validation,dropbox json11 (C++11),string_with_escaped_NULL,true
1. Parse Validation,dropbox json11 (C++11),number_1e6,true
1. Parse Validation,dropbox json11 (C++11),string_3_invalid_codepoints,true
1. Parse Validation,dropbox json11 (C++11),number_1.0,true
1. Parse Validation,dropbox json11 (C++11),string_2_invalid_codepoints,true
1. Parse Validation,dropbox json11 (C++11),number_9223372036854775807,true
1. Parse Validation,dropbox json11 (C++11),number_1000000000000000,true
1. Parse Validation,dropbox json11 (C++11),number_10000000000000000999,true
1. Parse Validation,dropbox json11 (C++11),number_-9223372036854775809,true
1. Parse Validation,dropbox json11 (C++11),object_same_key_different_values,true
1. Parse Validation,dropbox json11 (C++11),object_key_nfd_nfc,true
1. Parse Validation,dropbox json11 (C++11),object_same_key_same_value,true
1. Parse Validation,dropbox json11 (C++11),number_9223372036854775808,true
1. Parse Validation,dropbox json11 (C++11),number_1e-999,true
1. Parse Validation,dropbox json11 (C++11),string_1_escaped_invalid_codepoint,true
2. Parse Double,dropbox json11 (C++11),double01,true
2. Parse Double,dropbox json11 (C++11),double02,true
2. Parse Double,dropbox json11 (C++11),double03,true
2. Parse Double,dropbox json11 (C++11),double04,true
2. Parse Double,dropbox json11 (C++11),double05,true
2. Parse Double,dropbox json11 (C++11),double06,true
2. Parse Double,dropbox json11 (C++11),double07,true
2. Parse Double,dropbox json11 (C++11),double08,true
2. Parse Double,dropbox json11 (C++11),double09,true
2. Parse Double,dropbox json11 (C++11),double10,true
2. Parse Double,dropbox json11 (C++11),double11,true
2. Parse Double,dropbox json11 (C++11),double12,true
2. Parse Double,dropbox json11 (C++11),double13,true
2. Parse Double,dropbox json11 (C++11),double14,true
2. Parse Double,dropbox json11 (C++11),double15,true
2. Parse Double,dropbox json11 (C++11),double16,true
2. Parse Double,dropbox json11 (C++11),double17,true
2. Parse Double,dropbox json11 (C++11),double18,true
2. Parse Double,dropbox json11 (C++11),double19,true
2. Parse Double,dropbox json11 (C++11),double20,true
2. Parse Double,dropbox json11 (C++11),double21,true
2. Parse Double,dropbox json11 (C++11),double22,true
2. Parse Double,dropbox json11 (C++11),double23,true
2. Parse Double,dropbox json11 (C++11),double24,true
2. Parse Double,dropbox json11 (C++11),double25,true
2. Parse Double,dropbox json11 (C++11),double26,true
2. Parse Double,dropbox json11 (C++11),double27,true
2. Parse Double,dropbox json11 (C++11),double28,true
2. Parse Double,dropbox json11 (C++11),double29,true
2. Parse Double,dropbox json11 (C++11),double30,true
2. Parse Double,dropbox json11 (C++11),double31,true
2. Parse Double,dropbox json11 (C++11),double32,true
2. Parse Double,dropbox json11 (C++11),double33,true
2. Parse Double,dropbox json11 (C++11),double34,true
2. Parse Double,dropbox json11 (C++11),double35,true
2. Parse Double,dropbox json11 (C++11),double36,true
2. Parse Double,dropbox json11 (C++11),double37,true
2. Parse Double,dropbox json11 (C++11),double38,true
2. Parse Double,dropbox json11 (C++11),double39,true
2. Parse Double,dropbox json11 (C++11),double40,true
2. Parse Double,dropbox json11 (C++11),double41,true
2. Parse Double,dropbox json11 (C++11),double42,true
2. Parse Double,dropbox json11 (C++11),double43,true
2. Parse Double,dropbox json11 (C++11),double44,true
2. Parse Double,dropbox json11 (C++11),double45,true
2. Parse Double,dropbox json11 (C++11),double46,true
2. Parse Double,dropbox json11 (C++11),double47,true
2. Parse Double,dropbox json11 (C++11),double48,true
2. Parse Double,dropbox json11 (C++11),double49,true
2. Parse Double,dropbox json11 (C++11),double50,true
2. Parse Double,dropbox json11 (C++11),double51,true
2. Parse Double,dropbox json11 (C++11),double52,true
2. Parse Double,dropbox json11 (C++11),double53,true
2. Parse Double,dropbox json11 (C++11),double54,true
2. Parse Double,dropbox json11 (C++11),double55,true
2. Parse Double,dropbox json11 (C++11),double56,true
2. Parse Double,dropbox json11 (C++11),double57,true
2. Parse Double,dropbox json11 (C++11),double58,true
2. Parse Double,dropbox json11 (C++11),double59,true
2. Parse Double,dropbox json11 (C++11),double60,true
2. Parse Double,dropbox json11 (C++11),double61,true
2. Parse Double,dropbox json11 (C++11),double62,true
2. Parse Double,dropbox json11 (C++11),double63,true
2. Parse Double,dropbox json11 (C++11),double64,true
2. Parse Double,dropbox json11 (C++11),double65,true
2. Parse Double,dropbox json11 (C++11),double66,true
3. Parse String,dropbox json11 (C++11),string01,true
3. Parse String,dropbox json11 (C++11),string02,true
3. Parse String,dropbox json11 (C++11),string03,true
3. Parse String,dropbox json11 (C++11),string04,true
3. Parse String,dropbox json11 (C++11),string05,true
3. Parse String,dropbox json11 (C++11),string06,true
3. Parse String,dropbox json11 (C++11),string07,true
3. Parse String,dropbox json11 (C++11),string08,true
3. Parse String,dropbox json11 (C++11),string09,true
4. Roundtrip,dropbox json11 (C++11),roundtrip01,true
4. Roundtrip,dropbox json11 (C++11),roundtrip02,true
4. Roundtrip,dropbox json11 (C++11),roundtrip03,true
4. Roundtrip,dropbox json11 (C++11),roundtrip04,true
4. Roundtrip,dropbox json11 (C++11),roundtrip05,true
4. Roundtrip,dropbox json11 (C++11),roundtrip06,true
4. Roundtrip,dropbox json11 (C++11),roundtrip07,true
4. Roundtrip,dropbox json11 (C++11),roundtrip08,false
4. Roundtrip,dropbox json11 (C++11),roundtrip09,false
4. Roundtrip,dropbox json11 (C++11),roundtrip10,false
4. Roundtrip,dropbox json11 (C++11),roundtrip11,true
4. Roundtrip,dropbox json11 (C++11),roundtrip12,true
4. Roundtrip,dropbox json11 (C++11),roundtrip13,false
4. Roundtrip,dropbox json11 (C++11),roundtrip14,false
4. Roundtrip,dropbox json11 (C++11),roundtrip15,true
4. Roundtrip,dropbox json11 (C++11),roundtrip16,true
4. Roundtrip,dropbox json11 (C++11),roundtrip17,true
4. Roundtrip,dropbox json11 (C++11),roundtrip18,false
4. Roundtrip,dropbox json11 (C++11),roundtrip19,false
4. Roundtrip,dropbox json11 (C++11),roundtrip20,false
4. Roundtrip,dropbox json11 (C++11),roundtrip21,false
4. Roundtrip,dropbox json11 (C++11),roundtrip22,false
4. Roundtrip,dropbox json11 (C++11),roundtrip23,false
4. Roundtrip,dropbox json11 (C++11),roundtrip24,false
4. Roundtrip,dropbox json11 (C++11),roundtrip25,false
4. Roundtrip,dropbox json11 (C++11),roundtrip26,true
4. Roundtrip,dropbox json11 (C++11),roundtrip27,false
1. Parse Validation,mikeando FastJson (C++),pass01,true
1. Parse Validation,mikeando FastJson (C++),pass02,true
1. Parse Validation,mikeando FastJson (C++),pass03,true
1. Parse Validation,mikeando FastJson (C++),fail02,true
1. Parse Validation,mikeando FastJson (C++),fail03,true
1. Parse Validation,mikeando FastJson (C++),fail04,true
1. Parse Validation,mikeando FastJson (C++),fail05,true
1. Parse Validation,mikeando FastJson (C++),fail06,true
1. Parse Validation,mikeando FastJson (C++),fail07,true
1. Parse Validation,mikeando FastJson (C++),fail08,true
1. Parse Validation,mikeando FastJson (C++),fail09,true
1. Parse Validation,mikeando FastJson (C++),fail10,false
1. Parse Validation,mikeando FastJson (C++),fail11,true
1. Parse Validation,mikeando FastJson (C++),fail12,true
1. Parse Validation,mikeando FastJson (C++),fail13,true
1. Parse Validation,mikeando FastJson (C++),fail14,true
1. Parse Validation,mikeando FastJson (C++),fail15,true
1. Parse Validation,mikeando FastJson (C++),fail16,true
1. Parse Validation,mikeando FastJson (C++),fail17,true
1. Parse Validation,mikeando FastJson (C++),fail19,true
1. Parse Validation,mikeando FastJson (C++),fail20,true
1. Parse Validation,mikeando FastJson (C++),fail21,true
1. Parse Validation,mikeando FastJson (C++),fail22,true
1. Parse Validation,mikeando FastJson (C++),fail23,true
1. Parse Validation,mikeando FastJson (C++),fail24,true
1. Parse Validation,mikeando FastJson (C++),fail25,false
1. Parse Validation,mikeando FastJson (C++),fail26,true
1. Parse Validation,mikeando FastJson (C++),fail27,false
1. Parse Validation,mikeando FastJson (C++),fail28,true
1. Parse Validation,mikeando FastJson (C++),fail29,true
1. Parse Validation,mikeando FastJson (C++),fail30,true
1. Parse Validation,mikeando FastJson (C++),fail31,true
1. Parse Validation,mikeando FastJson (C++),fail32,true
1. Parse Validation,mikeando FastJson (C++),fail33,true
1. Parse Validation,mikeando FastJson (C++),number_-9223372036854775808,true
1. Parse Validation,mikeando FastJson (C++),string_2_escaped_invalid_codepoints,false
1. Parse Validation,mikeando FastJson (C++),string_1_invalid_codepoint,true
1. Parse Validation,mikeando FastJson (C++),object_same_key_unclear_values,true
1. Parse Validation,mikeando FastJson (C++),object_key_nfc_nfd,true
1. Parse Validation,mikeando FastJson (C++),string_3_escaped_invalid_codepoints,false
1. Parse Validation,mikeando FastJson (C++),number_1.000000000000000005,true
1. Parse Validation,mikeando FastJson (C++),string_with_escaped_NULL,true
1. Parse Validation,mikeando FastJson (C++),number_1e6,true
1. Parse Validation,mikeando FastJson (C++),string_3_invalid_codepoints,true
1. Parse Validation,mikeando FastJson (C++),number_1.0,true
1. Parse Validation,mikeando FastJson (C++),string_2_invalid_codepoints,true
1. Parse Validation,mikeando FastJson (C++),number_9223372036854775807,true
1. Parse Validation,mikeando FastJson (C++),number_1000000000000000,true
1. Parse Validation,mikeando FastJson (C++),number_10000000000000000999,true
1. Parse Validation,mikeando FastJson (C++),number_-9223372036854775809,true
1. Parse Validation,mikeando FastJson (C++),object_same_key_different_values,true
1. Parse Validation,mikeando FastJson (C++),object_key_nfd_nfc,true
1. Parse Validation,mikeando FastJson (C++),object_same_key_same_value,true
1. Parse Validation,mikeando FastJson (C++),number_9223372036854775808,true
1. Parse Validation,mikeando FastJson (C++),number_1e-999,true
1. Parse Validation,mikeando FastJson (C++),string_1_escaped_invalid_codepoint,false
2. Parse Double,mikeando FastJson (C++),double01,true
2. Parse Double,mikeando FastJson (C++),double02,true
2. Parse Double,mikeando FastJson (C++),double03,true
2. Parse Double,mikeando FastJson (C++),double04,true
2. Parse Double,mikeando FastJson (C++),double05,true
2. Parse Double,mikeando FastJson (C++),double06,true
2. Parse Double,mikeando FastJson (C++),double07,true
2. Parse Double,mikeando FastJson (C++),double08,true
2. Parse Double,mikeando FastJson (C++),double09,true
2. Parse Double,mikeando FastJson (C++),double10,true
2. Parse Double,mikeando FastJson (C++),double11,true
2. Parse Double,mikeando FastJson (C++),double12,true
2. Parse Double,mikeando FastJson (C++),double13,true
2. Parse Double,mikeando FastJson (C++),double14,true
2. Parse Double,mikeando FastJson (C++),double15,true
2. Parse Double,mikeando FastJson (C++),double16,true
2. Parse Double,mikeando FastJson (C++),double17,true
2. Parse Double,mikeando FastJson (C++),double18,true
2. Parse Double,mikeando FastJson (C++),double19,true
2. Parse Double,mikeando FastJson (C++),double20,true
2. Parse Double,mikeando FastJson (C++),double21,true
2. Parse Double,mikeando FastJson (C++),double22,true
2. Parse Double,mikeando FastJson (C++),double23,true
2. Parse Double,mikeando FastJson (C++),double24,true
2. Parse Double,mikeando FastJson (C++),double25,true
2. Parse Double,mikeando FastJson (C++),double26,true
2. Parse Double,mikeando FastJson (C++),double27,false
2. Parse Double,mikeando FastJson (C++),double28,false
2. Parse Double,mikeando FastJson (C++),double29,false
2. Parse Double,mikeando FastJson (C++),double30,true
2. Parse Double,mikeando FastJson (C++),double31,true
2. Parse Double,mikeando FastJson (C++),double32,true
2. Parse Double,mikeando FastJson (C++),double33,true
2. Parse Double,mikeando FastJson (C++),double34,true
2. Parse Double,mikeando FastJson (C++),double35,true
2. Parse Double,mikeando FastJson (C++),double36,true
2. Parse Double,mikeando FastJson (C++),double37,true
2. Parse Double,mikeando FastJson (C++),double38,false
2. Parse Double,mikeando FastJson (C++),double39,true
2. Parse Double,mikeando FastJson (C++),double40,true
2. Parse Double,mikeando FastJson (C++),double41,true
2. Parse Double,mikeando FastJson (C++),double42,false
2. Parse Double,mikeando FastJson (C++),double43,true
2. Parse Double,mikeando FastJson (C++),double44,true
2. Parse Double,mikeando FastJson (C++),double45,true
2. Parse Double,mikeando FastJson (C++),double46,true
2. Parse Double,mikeando FastJson (C++),double47,true
2. Parse Double,mikeando FastJson (C++),double48,false
2. Parse Double,mikeando FastJson (C++),double49,false
2. Parse Double,mikeando FastJson (C++),double50,true
2. Parse Double,mikeando FastJson (C++),double51,true
2. Parse Double,mikeando FastJson (C++),double52,true
2. Parse Double,mikeando FastJson (C++),double53,true
2. Parse Double,mikeando FastJson (C++),double54,false
2. Parse Double,mikeando FastJson (C++),double55,true
2. Parse Double,mikeando FastJson (C++),double56,false
2. Parse Double,mikeando FastJson (C++),double57,false
2. Parse Double,mikeando FastJson (C++),double58,true
2. Parse Double,mikeando FastJson (C++),double59,true
2. Parse Double,mikeando FastJson (C++),double60,true
2. Parse Double,mikeando FastJson (C++),double61,false
2. Parse Double,mikeando FastJson (C++),double62,false
2. Parse Double,mikeando FastJson (C++),double63,false
2. Parse Double,mikeando FastJson (C++),double64,false
2. Parse Double,mikeando FastJson (C++),double65,true
2. Parse Double,mikeando FastJson (C++),double66,true
3. Parse String,mikeando FastJson (C++),string01,true
3. Parse String,mikeando FastJson (C++),string02,true
3. Parse String,mikeando FastJson (C++),string03,true
3. Parse String,mikeando FastJson (C++),string04,true
3. Parse String,mikeando FastJson (C++),string05,true
3. Parse String,mikeando FastJson (C++),string06,true
3. Parse String,mikeando FastJson (C++),string07,true
3. Parse String,mikeando FastJson (C++),string08,true
3. Parse String,mikeando FastJson (C++),string09,false
4. Roundtrip,mikeando FastJson (C++),roundtrip01,true
4. Roundtrip,mikeando FastJson (C++),roundtrip02,true
4. Roundtrip,mikeando FastJson (C++),roundtrip03,true
4. Roundtrip,mikeando FastJson (C++),roundtrip04,true
4. Roundtrip,mikeando FastJson (C++),roundtrip05,true
4. Roundtrip,mikeando FastJson (C++),roundtrip06,true
4. Roundtrip,mikeando FastJson (C++),roundtrip07,true
4. Roundtrip,mikeando FastJson (C++),roundtrip08,true
4. Roundtrip,mikeando FastJson (C++),roundtrip09,true
4. Roundtrip,mikeando FastJson (C++),roundtrip10,true
4. Roundtrip,mikeando FastJson (C++),roundtrip11,true
4. Roundtrip,mikeando FastJson (C++),roundtrip12,true
4. Roundtrip,mikeando FastJson (C++),roundtrip13,true
4. Roundtrip,mikeando FastJson (C++),roundtrip14,true
4. Roundtrip,mikeando FastJson (C++),roundtrip15,true
4. Roundtrip,mikeando FastJson (C++),roundtrip16,true
4. Roundtrip,mikeando FastJson (C++),roundtrip17,true
4. Roundtrip,mikeando FastJson (C++),roundtrip18,true
4. Roundtrip,mikeando FastJson (C++),roundtrip19,true
4. Roundtrip,mikeando FastJson (C++),roundtrip20,true
4. Roundtrip,mikeando FastJson (C++),roundtrip21,true
4. Roundtrip,mikeando FastJson (C++),roundtrip22,true
4. Roundtrip,mikeando FastJson (C++),roundtrip23,true
4. Roundtrip,mikeando FastJson (C++),roundtrip24,true
4. Roundtrip,mikeando FastJson (C++),roundtrip25,true
4. Roundtrip,mikeando FastJson (C++),roundtrip26,true
4. Roundtrip,mikeando FastJson (C++),roundtrip27,true
1. Parse Validation,gason (C++11),pass01,true
1. Parse Validation,gason (C++11),pass02,true
1. Parse Validation,gason (C++11),pass03,true
1. Parse Validation,gason (C++11),fail02,true
1. Parse Validation,gason (C++11),fail03,true
1. Parse Validation,gason (C++11),fail04,false
1. Parse Validation,gason (C++11),fail05,true
1. Parse Validation,gason (C++11),fail06,true
1. Parse Validation,gason (C++11),fail07,false
1. Parse Validation,gason (C++11),fail08,false
1. Parse Validation,gason (C++11),fail09,false
1. Parse Validation,gason (C++11),fail10,false
1. Parse Validation,gason (C++11),fail11,true
1. Parse Validation,gason (C++11),fail12,true
1. Parse Validation,gason (C++11),fail13,false
1. Parse Validation,gason (C++11),fail14,true
1. Parse Validation,gason (C++11),fail15,true
1. Parse Validation,gason (C++11),fail16,true
1. Parse Validation,gason (C++11),fail17,true
1. Parse Validation,gason (C++11),fail19,false
1. Parse Validation,gason (C++11),fail20,true
1. Parse Validation,gason (C++11),fail21,true
1. Parse Validation,gason (C++11),fail22,true
1. Parse Validation,gason (C++11),fail23,true
1. Parse Validation,gason (C++11),fail24,true
1. Parse Validation,gason (C++11),fail25,true
1. Parse Validation,gason (C++11),fail26,true
1. Parse Validation,gason (C++11),fail27,true
1. Parse Validation,gason (C++11),fail28,true
1. Parse Validation,gason (C++11),fail29,false
1. Parse Validation,gason (C++11),fail30,false
1. Parse Validation,gason (C++11),fail31,true
1. Parse Validation,gason (C++11),fail32,true
1. Parse Validation,gason (C++11),fail33,true
1. Parse Validation,gason (C++11),number_-9223372036854775808,true
1. Parse Validation,gason (C++11),string_2_escaped_invalid_codepoints,true
1. Parse Validation,gason (C++11),string_1_invalid_codepoint,true
1. Parse Validation,gason (C++11),object_same_key_unclear_values,true
1. Parse Validation,gason (C++11),object_key_nfc_nfd,true
1. Parse Validation,gason (C++11),string_3_escaped_invalid_codepoints,true
1. Parse Validation,gason (C++11),number_1.000000000000000005,true
1. Parse Validation,gason (C++11),string_with_escaped_NULL,true
1. Parse Validation,gason (C++11),number_1e6,true
1. Parse Validation,gason (C++11),string_3_invalid_codepoints,true
1. Parse Validation,gason (C++11),number_1.0,true
1. Parse Validation,gason (C++11),string_2_invalid_codepoints,true
1. Parse Validation,gason (C++11),number_9223372036854775807,true
1. Parse Validation,gason (C++11),number_1000000000000000,true
1. Parse Validation,gason (C++11),number_10000000000000000999,true
1. Parse Validation,gason (C++11),number_-9223372036854775809,true
1. Parse Validation,gason (C++11),object_same_key_different_values,true
1. Parse Validation,gason (C++11),object_key_nfd_nfc,true
1. Parse Validation,gason (C++11),object_same_key_same_value,true
1. Parse Validation,gason (C++11),number_9223372036854775808,true
1. Parse Validation,gason (C++11),number_1e-999,true
1. Parse Validation,gason (C++11),string_1_escaped_invalid_codepoint,true
2. Parse Double,gason (C++11),double01,true
2. Parse Double,gason (C++11),double02,true
2. Parse Double,gason (C++11),double03,true
2. Parse Double,gason (C++11),double04,true
2. Parse Double,gason (C++11),double05,true
2. Parse Double,gason (C++11),double06,true
2. Parse Double,gason (C++11),double07,true
2. Parse Double,gason (C++11),double08,true
2. Parse Double,gason (C++11),double09,true
2. Parse Double,gason (C++11),double10,true
2. Parse Double,gason (C++11),double11,false
2. Parse Double,gason (C++11),double12,true
2. Parse Double,gason (C++11),double13,true
